Collection Name,Collection Id,MMS Id,Title,Suppressed From Discovery,Uniform Resource Identifier,Permalink,Rep Label,File Label
Sidetrack Theatre Collection,81284603340002171,99245209229602171,DownUnder 2,No,http://hdl.handle.net/1959.14/93425,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229602171,DownUnder 2,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209229702171,Pessoptimist Program,No,http://hdl.handle.net/1959.14/97354,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229702171,Pessoptimist Program,Other
Sidetrack Theatre Collection,81284603340002171,99245209229802171,Measure Info Sheet,No,http://hdl.handle.net/1959.14/96044,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229802171,Measure Info Sheet,Other
Sidetrack Theatre Collection,81284603340002171,99245209229902171,Loco 5,No,http://hdl.handle.net/1959.14/93822,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229902171,Loco 5,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209230002171,Adios Cha Cha Performance Space season flyer,No,http://hdl.handle.net/1959.14/15608,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230002171,Adios Cha Cha Performance Space season flyer,Flyer (8)
Sidetrack Theatre Collection,81284603340002171,99245209230102171,Whispers Press Release 1,No,http://hdl.handle.net/1959.14/95217,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230102171,Whispers Press Release 1,Press Release
Sidetrack Theatre Collection,81284603340002171,99245209230202171,Sawung Brief,No,http://hdl.handle.net/1959.14/96369,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230202171,Sawung Brief,Other
Sidetrack Theatre Collection,81284603340002171,99245209230302171,Loco 14,No,http://hdl.handle.net/1959.14/93887,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230302171,Loco 14,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209230402171,Out From Under Booking Form,No,http://hdl.handle.net/1959.14/94308,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230402171,Out From Under Booking Form,Other
Sidetrack Theatre Collection,81284603340002171,99245209230502171,Drunken Benefit Letter,No,http://hdl.handle.net/1959.14/95755,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230502171,Drunken Benefit Letter,Text
